city_us,city_ascii,lat_us,lng_us,country_us,iso2_us,iso3_us,admin_name_us,capital_us,population_us,id_us,city_foreign,lat_foreign,lng_foreign,country_foreign,iso2_foreign,iso3_foreign,admin_name_foreign,capital_foreign,population_foreign,id_foreign,language,English,Spanish,French,Arabic,German,Italian,Portuguese,Dutch
Jasper,Jasper,33.8514,-87.2719,United States,US,USA,Alabama,,13432.0,1840003778,Jasper,52.8833,-118.0834,Canada,CA,CAN,Alberta,,3907.0,1124533812,"['English', 'French']",True,False,True,False,False,False,False,False
Jasper,Jasper,30.9221,-93.9947,United States,US,USA,Texas,,7804.0,1840019560,Jasper,52.8833,-118.0834,Canada,CA,CAN,Alberta,,3907.0,1124533812,"['English', 'French']",True,False,True,False,False,False,False,False
Jasper,Jasper,34.4709,-84.4496,United States,US,USA,Georgia,,6206.0,1840014687,Jasper,52.8833,-118.0834,Canada,CA,CAN,Alberta,,3907.0,1124533812,"['English', 'French']",True,False,True,False,False,False,False,False
Griffith,Griffith,41.5279,-87.424,United States,US,USA,Indiana,,16152.0,1840010225,Griffith,-34.29,146.04,Australia,AU,AUS,New South Wales,,15455.0,1036563313,['English'],True,False,False,False,False,False,False,False
Belgrade,Belgrade,45.7796,-111.1751,United States,US,USA,Montana,,15975.0,1840018508,Belgrade,44.8186,20.468,Serbia,RS,SRB,Beograd,primary,1099000.0,1688374696,['Serbian'],False,False,False,False,False,False,False,False
Hereford,Hereford,34.8232,-102.4001,United States,US,USA,Texas,,15440.0,1840020462,Hereford,52.05,-2.7167,United Kingdom,GB,GBR,Herefordshire,admin,,1826996583,['English'],True,False,False,False,False,False,False,False
Damascus,Damascus,39.2737,-77.2006,United States,US,USA,Maryland,,15423.0,1840005832,Damascus,33.5,36.3,Syria,SY,SYR,Dimashq,primary,2466000.0,1760685964,['Arabic'],False,False,False,True,False,False,False,False
Damascus,Damascus,45.4239,-122.447,United States,US,USA,Oregon,,11155.0,1840018571,Damascus,33.5,36.3,Syria,SY,SYR,Dimashq,primary,2466000.0,1760685964,['Arabic'],False,False,False,True,False,False,False,False
Glasgow,Glasgow,39.6015,-75.7474,United States,US,USA,Delaware,,15280.0,1840005571,Glasgow,55.8744,-4.2507,United Kingdom,GB,GBR,Glasgow City,admin,1160000.0,1826836462,['English'],True,False,False,False,False,False,False,False
Glasgow,Glasgow,37.0047,-85.9263,United States,US,USA,Kentucky,,13891.0,1840013268,Glasgow,55.8744,-4.2507,United Kingdom,GB,GBR,Glasgow City,admin,1160000.0,1826836462,['English'],True,False,False,False,False,False,False,False
Thompson,Thompson,41.6474,-74.6745,United States,US,USA,New York,,15034.0,1840058541,Thompson,55.7499,-97.8666,Canada,CA,CAN,Manitoba,,13727.0,1124110693,"['English', 'French']",True,False,True,False,False,False,False,False
Thompson,Thompson,41.9798,-71.8735,United States,US,USA,Connecticut,,9299.0,1840035623,Thompson,55.7499,-97.8666,Canada,CA,CAN,Manitoba,,13727.0,1124110693,"['English', 'French']",True,False,True,False,False,False,False,False
Kerman,Kerman,36.7249,-120.0625,United States,US,USA,California,,14869.0,1840020324,Kermān,30.3,57.08,Iran,IR,IRN,Kermān,admin,577514.0,1364554896,['Persian'],False,False,False,False,False,False,False,False
Exeter,Exeter,42.9901,-70.9646,United States,US,USA,New Hampshire,,14734.0,1840054838,Exeter,50.7004,-3.53,United Kingdom,GB,GBR,Devon,admin,113118.0,1826840903,['English'],True,False,False,False,False,False,False,False
Exeter,Exeter,36.294,-119.1459,United States,US,USA,California,,10553.0,1840020365,Exeter,50.7004,-3.53,United Kingdom,GB,GBR,Devon,admin,113118.0,1826840903,['English'],True,False,False,False,False,False,False,False
Exeter,Exeter,41.3338,-75.8214,United States,US,USA,Pennsylvania,,5589.0,1840000749,Exeter,50.7004,-3.53,United Kingdom,GB,GBR,Devon,admin,113118.0,1826840903,['English'],True,False,False,False,False,False,False,False
