city_ascii,lat_us,lng_us,country_foreign,language,English,Spanish,French,Arabic,German,Italian,Portuguese,Dutch
Wyndham,37.6924,-77.6123,Australia,['English'],True,False,False,False,False,False,False,False
Southampton,39.9137,-74.7171,United Kingdom,['English'],True,False,False,False,False,False,False,False
Southampton,42.2308,-72.7386,United Kingdom,['English'],True,False,False,False,False,False,False,False
Rodeo,38.0368,-122.2526,Argentina,['Spanish'],False,True,False,False,False,False,False,False
Philipsburg,40.8952,-78.2147,Sint Maarten,"['Dutch', 'English']",True,False,False,False,False,False,False,True
Croydon,40.0911,-74.8975,United Kingdom,['English'],True,False,False,False,False,False,False,False
Progress,40.2905,-76.8382,Russia,['Russian'],False,False,False,False,False,False,False,False
Hamburg,42.7233,-78.8348,Germany,['German'],False,False,False,False,True,False,False,False
Marathon,24.7262,-81.0376,Canada,"['English', 'French']",True,False,True,False,False,False,False,False
Potsdam,44.6699,-74.9831,Germany,['German'],False,False,False,False,True,False,False,False
La Plata,38.5352,-76.9701,Argentina,['Spanish'],False,True,False,False,False,False,False,False
Cairo,30.879,-84.205,Egypt,['Arabic'],False,False,False,True,False,False,False,False
Cairo,42.2965,-74.0205,Egypt,['Arabic'],False,False,False,True,False,False,False,False
Sheffield,34.7559,-87.7007,United Kingdom,['English'],True,False,False,False,False,False,False,False
Glencoe,42.1347,-87.7641,New Zealand,"['English', 'Maori']",True,False,False,False,False,False,False,False
Glencoe,44.7699,-94.1513,New Zealand,"['English', 'Maori']",True,False,False,False,False,False,False,False
Glencoe,33.9446,-85.9319,New Zealand,"['English', 'Maori']",True,False,False,False,False,False,False,False
Stuttgart,34.4963,-91.5486,Germany,['German'],False,False,False,False,True,False,False,False
Dumbarton,37.613,-77.5065,United Kingdom,['English'],True,False,False,False,False,False,False,False
Bath,43.9346,-69.8346,United Kingdom,['English'],True,False,False,False,False,False,False,False
Bath,42.3363,-77.318,United Kingdom,['English'],True,False,False,False,False,False,False,False
Trinidad,37.175,-104.4908,Bolivia,"['Spanish', 'Quechua', 'Aymara']",False,True,False,False,False,False,False,False
Trinidad,37.175,-104.4908,Uruguay,['Spanish'],False,True,False,False,False,False,False,False
Trinidad,37.175,-104.4908,Uruguay,['Spanish'],False,True,False,False,False,False,False,False
Island Lake,42.2784,-88.1999,Canada,"['English', 'French']",True,False,True,False,False,False,False,False
Mecca,33.5767,-116.0645,Saudi Arabia,['Arabic'],False,False,False,True,False,False,False,False
Milan,42.0815,-83.6854,Italy,['Italian'],False,False,False,False,False,True,False,False
Milan,35.9126,-88.7554,Italy,['Italian'],False,False,False,False,False,True,False,False
Milan,41.4416,-90.5595,Italy,['Italian'],False,False,False,False,False,True,False,False
Creston,41.0597,-94.365,Canada,"['English', 'French']",True,False,True,False,False,False,False,False
Inverness,42.1152,-88.1019,United Kingdom,['English'],True,False,False,False,False,False,False,False
Inverness,28.8397,-82.3437,United Kingdom,['English'],True,False,False,False,False,False,False,False
San Martin,37.0829,-121.5963,Argentina,['Spanish'],False,True,False,False,False,False,False,False
San Martin,37.0829,-121.5963,Colombia,['Spanish'],False,True,False,False,False,False,False,False
Atherton,37.4539,-122.2032,Australia,['English'],True,False,False,False,False,False,False,False
Springs,41.0212,-72.1584,South Africa,"['Afrikaans', 'English', 'isiXhosa', 'isiZulu', 'Sesotho', 'Setswana', 'siSwati', 'Tshivenda', 'Xitsonga', 'Sepedi', 'isiNdebele']",True,False,False,False,False,False,False,False
Belen,34.6803,-106.7875,Paraguay,"['Spanish', 'Guarani']",False,True,False,False,False,False,False,False
Belen,34.6803,-106.7875,Argentina,['Spanish'],False,True,False,False,False,False,False,False
Kiel,43.9167,-88.0266,Germany,['German'],False,False,False,False,True,False,False,False
Bremen,33.7086,-85.1498,Germany,['German'],False,False,False,False,True,False,False,False
Theodore,30.5408,-88.1884,Australia,['English'],True,False,False,False,False,False,False,False
Genoa,42.0929,-88.6966,Italy,['Italian'],False,False,False,False,False,True,False,False
Darlington,34.3015,-79.8672,United Kingdom,['English'],True,False,False,False,False,False,False,False
Hopedale,42.1248,-71.535,Canada,"['English', 'French']",True,False,True,False,False,False,False,False
Jordan,44.6652,-93.6351,Philippines,"['Filipino', 'English']",True,False,False,False,False,False,False,False
Progreso,26.0962,-97.9566,Mexico,['Spanish'],False,True,False,False,False,False,False,False
Nazareth,40.74,-75.3132,Israel,['Hebrew'],False,False,False,False,False,False,False,False
Clare,43.8259,-84.763,Australia,['English'],True,False,False,False,False,False,False,False
Salamanca,42.1631,-78.7233,Mexico,['Spanish'],False,True,False,False,False,False,False,False
Salamanca,42.1631,-78.7233,Spain,['Spanish'],False,True,False,False,False,False,False,False
Salamanca,42.1631,-78.7233,Chile,['Spanish'],False,True,False,False,False,False,False,False
Lisbon,40.7752,-80.7628,Portugal,['Portuguese'],False,False,False,False,False,False,True,False
Lisbon,44.0265,-70.09,Portugal,['Portuguese'],False,False,False,False,False,False,True,False
Paola,38.5784,-94.8619,Malta,"['Maltese', 'English']",True,False,False,False,False,False,False,False
Dumfries,38.567,-77.3233,United Kingdom,['English'],True,False,False,False,False,False,False,False
Montevideo,44.9505,-95.7154,Uruguay,['Spanish'],False,True,False,False,False,False,False,False
Concordia,39.5669,-97.6466,Argentina,['Spanish'],False,True,False,False,False,False,False,False
Concordia,39.5669,-97.6466,Brazil,['Portuguese'],False,False,False,False,False,False,True,False
Sutton,42.1337,-71.7503,United Kingdom,['English'],True,False,False,False,False,False,False,False
Freetown,41.7714,-71.0157,Sierra Leone,['English'],True,False,False,False,False,False,False,False
Halifax,41.9914,-70.8633,Canada,"['English', 'French']",True,False,True,False,False,False,False,False
Halifax,41.9914,-70.8633,United Kingdom,['English'],True,False,False,False,False,False,False,False
Shelburne,44.3905,-73.2413,Canada,"['English', 'French']",True,False,True,False,False,False,False,False
Kula,20.7706,-156.3284,Serbia,['Serbian'],False,False,False,False,False,False,False,False
Newbury,42.7706,-70.8747,United Kingdom,['English'],True,False,False,False,False,False,False,False
Peterborough,42.8905,-71.9394,United Kingdom,['English'],True,False,False,False,False,False,False,False
Peterborough,42.8905,-71.9394,Canada,"['English', 'French']",True,False,True,False,False,False,False,False
Peterborough,42.8905,-71.9394,Australia,['English'],True,False,False,False,False,False,False,False
Orleans,41.7665,-69.9675,France,['French'],False,False,True,False,False,False,False,False
Palermo,39.4313,-121.5226,Italy,['Italian'],False,False,False,False,False,True,False,False
Riga,43.0802,-77.8753,Latvia,['Latvian'],False,False,False,False,False,False,False,False
Bolton,42.4362,-71.6073,United Kingdom,['English'],True,False,False,False,False,False,False,False
Hanover,45.1558,-93.66635,Germany,['German'],False,False,False,False,True,False,False,False
Havana,40.307,-90.0602,Cuba,['Spanish'],False,True,False,False,False,False,False,False
Syracuse,43.0469,-76.1444,Italy,['Italian'],False,False,False,False,False,True,False,False
Zurich,39.23222,-99.43472,Switzerland,"['German', 'French', 'Italian', 'Romansh']",False,False,True,False,True,True,False,False
