city_ascii,lat_us,lng_us,language,country_foreign,English,Spanish,French,Arabic,German,Italian,Portuguese,Dutch
Durham,39.6232,-121.7875,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Durham,41.4622,-72.6829,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Durham,43.1174,-70.9195,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
El Dorado,33.2184,-92.664,['Spanish'],"['Mexico', 'Venezuela']",False,True,False,False,False,False,False,False
El Dorado,37.8209,-96.8614,['Spanish'],"['Mexico', 'Venezuela']",False,True,False,False,False,False,False,False
Elgin,30.3512,-97.3876,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Elgin,42.0385,-88.3229,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Enfield,41.9839,-72.5548,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Ennis,32.3239,-96.6377,['English' 'Irish'],['Ireland'],True,False,False,False,False,False,False,False
Exeter,36.294,-119.1459,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Exeter,41.3338,-75.8214,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Exeter,41.5658,-71.6307,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Exeter,42.9901,-70.9646,['English'],['United Kingdom'],True,False,False,False,False,False,False,False
Falmouth,41.5915,-70.5914,['English'],['Jamaica'],True,False,False,False,False,False,False,False
Falmouth,43.7476,-70.2827,['English'],['Jamaica'],True,False,False,False,False,False,False,False
Florence,33.059,-111.4209,['Italian'],['Italy'],False,False,False,False,False,True,False,False
Florence,34.1782,-79.7872,['Italian'],['Italy'],False,False,False,False,False,True,False,False
Florence,34.8303,-87.6654,['Italian'],['Italy'],False,False,False,False,False,True,False,False
Florence,38.3835,-105.1114,['Italian'],['Italy'],False,False,False,False,False,True,False,False
Florence,38.99,-84.6471,['Italian'],['Italy'],False,False,False,False,False,True,False,False
Florence,40.0978,-74.7886,['Italian'],['Italy'],False,False,False,False,False,True,False,False
Florence,43.9913,-124.1062,['Italian'],['Italy'],False,False,False,False,False,True,False,False
Fontana,34.0968,-117.4599,['English' 'Maltese'],['Malta'],True,False,False,False,False,False,False,False
Fort Smith,35.3493,-94.3695,['English' 'French'],['Canada'],True,False,True,False,False,False,False,False
Freetown,41.7714,-71.0157,['English'],['Sierra Leone'],True,False,False,False,False,False,False,False
Geneva,41.8006,-80.9462,['French' 'German' 'Italian' 'Romansh'],['Switzerland'],False,False,True,False,True,True,False,False
Geneva,41.8833,-88.3242,['French' 'German' 'Italian' 'Romansh'],['Switzerland'],False,False,True,False,True,True,False,False
Geneva,42.8644,-76.9827,['French' 'German' 'Italian' 'Romansh'],['Switzerland'],False,False,True,False,True,True,False,False
Genoa,42.0929,-88.6966,['Italian'],['Italy'],False,False,False,False,False,True,False,False
Georgetown,30.6668,-97.6953,['English'],"['Guyana', 'Saint Helena, Ascension, And Tristan Da Cunha', 'Australia']",True,False,False,False,False,False,False,False
Georgetown,31.9849,-81.226,['English'],"['Guyana', 'Saint Helena, Ascension, And Tristan Da Cunha', 'Australia']",True,False,False,False,False,False,False,False
Georgetown,33.3595,-79.2958,['English'],"['Guyana', 'Saint Helena, Ascension, And Tristan Da Cunha', 'Australia']",True,False,False,False,False,False,False,False
